C,gamma,acc_clipe,f1_macro_clipe
5,0.01,0.52,0.504
100,0.01,0.519,0.502
10,0.01,0.519,0.5
50,0.01,0.518,0.5
100,auto,0.518,0.499
100,scale,0.518,0.499
100,0.001,0.51,0.498
10,scale,0.517,0.497
50,scale,0.516,0.497
10,auto,0.517,0.497
50,auto,0.516,0.497
5,scale,0.515,0.496
5,auto,0.515,0.496
50,0.001,0.505,0.494
1,scale,0.508,0.492
1,auto,0.508,0.492
10,0.001,0.498,0.488
1,0.01,0.501,0.485
5,0.001,0.493,0.481
1,0.001,0.45,0.44
10,0.1,0.402,0.369
50,0.1,0.402,0.369
5,0.1,0.402,0.369
100,0.1,0.402,0.369
1,0.1,0.397,0.363
